Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume
Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
BFS|6722|0|16369|Q
BFSpD|8|0|57|Q,N
BFSpE|136|0|549|Q
BFST|15101|95|35584|B,Q,N
BFZ|14180|0|26001|Q
BG|271577|48|1206009|B,Q,N
BGB|18692|0|75025|Q,N
BGC|486613|75|1196918|B,Q,N
BGFV|45218|1193|112293|Q,N
BGH|13264|884|26882|Q,N
BGI|132|0|1619|Q,N
BGIG|100|0|563|Q
BGLC|35609|7000|54202|Q,N
BGLD|7797|0|8982|B,Q,N
BGM|1436|0|1983|Q,N
BGNE|29473|2|61372|B,Q,N
BGR|22622|0|39413|Q,N
BGRN|4620|0|17590|Q
BGRO|60|0|77|Q
BGS|178999|1807|292257|Q,N
BGSF|2139|0|4263|Q
BGT|38948|0|72989|Q,N
BGX|8456|493|30487|Q
BGY|9938|100|91555|Q
BH|30|0|79|Q
BH/A|1|0|5|Q
BHAT|44202|0|61960|Q,N
BHB|1575|0|3234|Q
BHC|304648|1522|1064145|B,Q,N
BHE|45373|0|92439|B,Q,N
BHF|66018|0|106207|B,Q,N
BHFAL|1403|1061|3335|Q
BHFAM|4723|0|7320|Q,N
BHFAN|8167|850|14526|Q,N
BHFAO|2767|0|5158|Q
BHFAP|3070|0|6849|Q
BHIL|566|16|2958|Q,N
BHK|32380|1983|66194|Q,N
BHLB|22211|97|58973|Q,N
BHM|17|0|377|Q
BHP|362318|303|615327|B,Q,N
BHR|20668|400|88684|Q,N
BHRB|5775|0|16262|B,Q,N
BHRpB|205|0|289|Q
BHRpD|39|0|210|Q
BHV|2748|0|4912|Q
BHVN|94927|278|270977|B,Q,N
BIAF|6253|0|9892|Q,N
BIB|1542|0|6159|Q,N
BIBL|741|0|13471|Q
BIDU|331831|258|660151|B,Q,N
BIGC|141772|100|259557|Q,N
BIGZ|85807|0|363466|B,Q,N
BIIB|404054|240|970653|B,Q,N
BIL|4830789|34061|6874030|B,Q,N
BILI|441230|15001|977913|B,Q,N
BILL|199019|1619|474103|B,Q,N
BILS|101382|91|271888|Q,N
BILZ|8065|2042|40100|Q
BINC|182880|139|584994|Q,N
BINV|6941|0|17510|Q
BIO|29987|0|68607|B,Q,N
BIOA|114581|837|209341|B,Q,N
BIOR|49268|23375|74596|Q,N
BIOX|21134|0|55165|B,Q,N
BIP|39107|0|158801|Q,N
BIPC|51802|114|81838|B,Q,N
BIPH|1538|0|3092|Q,N
BIPI|304|0|2820|Q
BIPJ|7999|0|17676|Q
BIPpA|145|0|1160|Q
BIPpB|968|10|2341|Q,N
BIRD|5566|112|9607|B,Q,N
BIRK|100926|194|181966|B,Q,N
BIS|1222|0|3219|Q
BIT|34042|0|52882|Q,N
BITB|227701|2566|664374|B,Q,N
BITC|12246|0|18215|Q,N
BITF|8699932|39472|14614768|B,Q,N
BITI|2427857|12607|5116196|B,Q,N
BITO|985690|13452|2880350|B,Q,N
BITQ|21230|0|46206|Q,N
BITS|761|0|1303|Q
BITU|215597|2177|1828101|B,Q,N
BITX|841550|22850|3100645|B,Q,N
BIV|492084|3807|731680|B,Q,N
BIVI|580517|12202|1033318|B,Q,N
BIZD|208895|1544|325627|B,Q,N
BJ|224899|38|295601|B,Q,N
BJAN|662|0|10481|Q
BJDX|396539|51074|851938|Q,N
BJK|30|0|137|Q
BJRI|42578|519|87146|B,Q,N
BJUL|701|0|3463|Q
BJUN|1265|0|5009|Q,N
BK|545765|500|1229132|B,Q,N
BKAG|142192|0|186496|Q,N
BKCH|3645|15|19177|B,Q,N
